"ck","h"
0.01,0.339047079272195
0.02,0.329047079272195
0.03,0.319047079272195
0.04,0.309047079272195
0.05,0.299047079272195
0.06,0.289047079272195
0.07,0.279047079272195
0.08,0.269047079272195
0.09,0.259047079272195
0.1,0.249047079272195
0.11,0.239047079272195
0.12,0.229047079272195
0.13,0.219047079272195
0.14,0.209047079272195
0.15,0.199047079272195
0.16,0.189047079272195
0.17,0.179047079272195
0.18,0.169047079272195
0.19,0.159047079272195
0.2,0.149347505886398
0.21,0.139347505886398
0.22,0.12937024421449
0.23,0.119573050047474
0.24,0.109953496076824
0.25,0.100484623458504
0.26,0.0931548926162695
0.27,0.0853523406921845
0.28,0.0790914130887527
0.29,0.0743656621405139
0.3,0.070035505005144
0.31,0.0658859548579695
0.32,0.0613026045710747
0.33,0.0590856512085764
0.34,0.0563831079489484
0.35,0.0545581245038899
0.36,0.0522333413673274
0.37,0.05054916488463
0.38,0.0476543724405249
0.39,0.0449750455565193
0.4,0.0442524978411753
0.41,0.0418724690269418
0.42,0.041133493699794
0.43,0.0390621510368743
0.44,0.0388112500306197
0.45,0.038848702304479
0.46,0.0376818174728128
0.47,0.0380290594983979
0.48,0.0363070470329547
0.49,0.0351593503634589
0.5,0.0343666772466866
0.51,0.0334302856346818
0.52,0.0312172009325986
0.53,0.0295828137197982
0.54,0.0295682293999077
0.55,0.0295459017605244
0.56,0.0292696874974635
0.57,0.0299058767232235
0.58,0.0297044473700699
0.59,0.0314867457415079
0.6,0.0313712905270661
0.61,0.0322664881007824
0.62,0.0336433193331855
0.63,0.0344129379489786
0.64,0.0349862615965713
0.65,0.0368395742359787
0.66,0.0373659802973672
0.67,0.0388817984052565
0.68,0.0407865085345668
0.69,0.0430940306466745
0.7,0.0473816489200301
0.71,0.0504621278175929
0.72,0.0540368194497869
0.73,0.059119544628652
0.74,0.063941716118714
0.75,0.0703919340783398
0.76,0.0774342899191577
0.77,0.0852403205195442
0.78,0.0947881436038495
0.79,0.104048230927162
0.8,0.113737613889094
0.81,0.123175565908124
0.82,0.133175565908124
0.83,0.143175565908124
0.84,0.153175565908124
0.85,0.163175565908124
0.86,0.173175565908124
0.87,0.183175565908124
0.88,0.193175565908124
0.89,0.203175565908124
0.9,0.213175565908124
0.91,0.223175565908124
0.92,0.233175565908124
0.93,0.243175565908124
0.94,0.253175565908124
0.95,0.263175565908124
0.96,0.273175565908124
0.97,0.283175565908124
0.98,0.293175565908124
0.99,0.303175565908124
